prompt,n,unique_outputs,mean_token_length,std_token_length,mean_seq_length,std_seq_length,mean_gc,mean_repetition,shannon_diversity
<pgk_high> <len_long>,6,6,63.0,0.0,180.0,0.0,0.20555555555555557,0.5325884543761639,1.6519673251945166
<pgk_high> <len_short>,6,6,63.0,0.0,179.5,1.2247448713915885,0.2560891399874451,0.4436367868630438,1.7365854843842512
<pgk_low> <len_short>,6,6,63.0,0.0,177.5,4.806245936279167,0.21066496278360683,0.4984532268626789,1.668897749304654
